DATA,Max:,,80,,,262375,,,,,,,,,,,PARAMS,,,,,,,,,,,MODEL,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Is_Male,Embarked_S,Embarked_C,Pclass_1,Pclass_2,Age_N,Log_Fare,Ones,,Age,SibSp,Parch,Is_Male,Embarked_S,Embarked_C,Pclass_1,Pclass_2,Const,,,Linear,Loss
0,3,male,22,1,0,"7,25",S,1,1,0,0,0,"0,275","0,916",1,,"0,196","0,879","0,564","0,334","0,094","0,155","0,313","0,896","0,020",,,#VALORE!,
1,1,female,38,1,0,"71,2833",C,0,0,1,1,0,"0,475","1,859",1,,"0,545","0,815","0,216","0,668","0,461","0,213","0,550","0,996","0,020",,,#VALORE!,
1,3,female,26,0,0,7925,S,0,1,0,0,0,"0,325","3,899",1,,"0,139","0,006","0,165","0,720","0,650","0,046","0,485","0,436","0,020",,,#VALORE!,
1,1,female,35,1,0,"53,1",S,0,1,0,1,0,"0,4375","1,733",1,,"0,333","0,258","0,790","0,917","0,360","0,666","0,501","0,867","0,020",,,,
0,3,male,35,0,0,"8,05",S,1,1,0,0,0,"0,4375","0,957",1,,"0,373","0,020","0,171","0,512","0,630","0,402","0,464","0,494","0,020",,,,
0,3,male,,0,0,8.4583,Q,,,,,,,,,,,,,,,,,,,,,,
0,1,male,54,0,0,"51,8625",S,1,1,0,1,0,"0,675","1,723",1,,"0,525","0,686","0,016","0,366","0,220","0,988","0,931","0,506","0,020",,,,
0,3,male,2,3,1,21075,S,1,1,0,0,0,"0,025","4,324",1,,"0,853","0,044","0,407","0,992","0,174","0,270","0,540","0,154","0,020",,,,
1,3,female,27,0,2,"11,1333",S,0,1,0,0,0,"0,3375","1,084",1,,"0,669","0,850","0,304","0,765","0,772","0,983","0,518","0,511",,,,,
1,2,female,14,1,0,"30,0708",C,0,0,1,0,1,"0,175","1,492",1,,"0,445","0,910","0,963","0,834","0,677","0,147","0,883","0,242",,,,,
1,3,female,4,1,1,"16,7",S,0,1,0,0,0,"0,05","1,248",1,,"0,173","0,354","0,020","0,678","0,010","0,311","0,109","0,882",,,,,
1,1,female,58,0,0,"26,55",S,0,1,0,1,0,"0,725","1,440",1,,"0,149","0,992","0,005","0,775","0,433","0,637","0,577","0,260",,,,,
0,3,male,20,0,0,"8,05",S,1,1,0,0,0,"0,25","0,957",1,,"0,806","0,777","0,571","0,534","0,350","0,194","0,361","0,791",,,,,
0,3,male,39,1,5,31275,S,1,1,0,0,0,"0,4875","4,495",1,,"0,531","0,987","0,132","0,312","0,809","0,464","0,592","0,852",,,,,
0,3,female,14,0,0,"7,8542",S,0,1,0,0,0,"0,175","0,947",1,,"0,773","0,684","0,188","0,781","0,732","0,595","0,927","0,453",,,,,
1,2,female,55,0,0,16,S,0,1,0,0,1,"0,6875","1,230",1,,"0,631","0,959","0,371","0,098","0,470","0,091","0,562","0,871",,,,,
0,3,male,2,4,1,29125,Q,1,0,0,0,0,"0,025","4,464",1,,"0,185","0,117","0,651","0,376","0,447","0,636","0,710","0,684",,,,,
1,2,male,,0,0,13,S,,,,,,,,,,,,,,,,,,,,,,
0,3,female,31,1,0,18,S,0,1,0,0,0,"0,3875","1,279",1,,"0,244","0,428","0,580","0,693","0,334","0,975","0,027","0,223",,,,,
1,3,female,,0,0,7225,C,,,,,,,,,,,,,,,,,,,,,,
0,2,male,35,0,0,26,S,1,1,0,0,1,"0,4375","1,431",1,,"0,597","0,765","0,779","0,692","0,844","0,650","0,182","0,247",,,,,
1,2,male,34,0,0,13,S,1,1,0,0,1,"0,425","1,146",1,,"0,106","0,578","0,527","0,537","0,169","0,736","0,811","0,554",,,,,
1,3,female,15,0,0,"8,0292",Q,0,0,0,0,0,"0,1875","0,956",1,,"0,532","0,021","0,784","0,889","0,893","0,707","0,874","0,034",,,,,
1,1,male,28,0,0,"35,5",S,1,1,0,1,0,"0,35","1,562",1,,"0,655","0,219","0,002","0,353","0,410","0,380","0,678","0,509",,,,,
0,3,female,8,3,1,21075,S,0,1,0,0,0,"0,1","4,324",1,,"0,567","0,520","0,283","0,770","0,766","0,472","0,898","0,247",,,,,
1,3,female,38,1,5,"31,3875",S,0,1,0,0,0,"0,475","1,510",1,,"0,746","0,129","0,141","0,465","0,683","0,701","0,636","0,320",,,,,
0,3,male,,0,0,7225,C,,,,,,,,,,,,,,,,,,,,,,
0,1,male,19,3,2,263,S,1,1,0,1,0,"0,2375","2,422",1,,"0,946","0,583","0,695","0,724","0,319","0,026","0,247","0,374",,,,,
1,3,female,,0,0,7.8792,Q,,,,,,,,,,,,,,,,,,,,,,
0,3,male,,0,0,7.8958,S,,,,,,,,,,,,,,,,,,,,,,
0,1,male,40,0,0,"27,7208",C,1,0,1,1,0,"0,5","1,458",1,,"0,322","0,863","0,743","0,917","0,920","0,714","0,650","0,116",,,,,
1,1,female,,1,0,146.5208,C,,,,,,,,,,,,,,,,,,,,,,
1,3,female,,0,0,7.75,Q,,,,,,,,,,,,,,,,,,,,,,
0,2,male,66,0,0,"10,5",S,1,1,0,0,1,"0,825","1,061",1,,"0,616","0,625","0,973","0,176","0,835","0,774","0,229","0,359",,,,,
0,1,male,28,1,0,"82,1708",C,1,0,1,1,0,"0,35","1,920",1,,"0,373","0,102","0,044","0,393","0,259","0,456","0,155","0,878",,,,,
0,1,male,42,1,0,52,S,1,1,0,1,0,"0,525","1,724",1,,"0,080","0,272","0,783","0,504","0,596","0,011","0,437","0,469",,,,,
1,3,male,,0,0,7.2292,C,,,,,,,,,,,,,,,,,,,,,,
0,3,male,21,0,0,"8,05",S,1,1,0,0,0,"0,2625","0,957",1,,"0,857","0,373","0,015","0,828","0,496","0,118","0,722","0,540",,,,,
0,3,female,18,2,0,18,S,0,1,0,0,0,"0,225","1,279",1,,"0,279","0,025","0,263","0,535","0,652","0,650","0,421","0,781",,,,,
1,3,female,14,1,0,"11,2417",C,0,0,1,0,0,"0,175","1,088",1,,"0,105","0,029","0,084","0,612","0,580","0,591","0,973","0,886",,,,,
0,3,female,40,1,0,9475,S,0,1,0,0,0,"0,5","3,977",1,,"0,600","0,969","0,819","0,286","0,154","0,110","0,074","0,120",,,,,
0,2,female,27,1,0,21,S,0,1,0,0,1,"0,3375","1,342",1,,"0,006","0,052","0,375","0,995","0,385","0,434","0,938","0,796",,,,,
